date,euro,japan,canada,uk,mexico,india,switzerland,thailand,denmark,australia
9/11/2006,-0.20495,0.58006,0.22314,0.1341,0.49921,0.28184,-0.23264,0.13346,-0.21256,0.39867
9/12/2006,0.047259,0.21241,-0.26783,-0.62606,-0.29959,0.17305,0.24867,-0.18689,0.051056,-0.23939
9/13/2006,-0.11811,-0.29751,0.044689,-0.10663,-0.2814,-0.1947,0.072078,-0.18724,-0.12939,-0.11948
9/14/2006,-0.22009,0,-0.29532,-0.63209,-0.14919,-0.13001,0.064026,-0.13396,-0.20635,-0.14584
9/15/2006,0.69335,0.21259,0.30425,0.54687,-0.35659,-0.36928,0.64596,-0.16099,0.68732,0.41155
9/18/2006,-0.18168,0.25452,-0.20572,0.053254,-0.16459,0.30422,-0.3105,0.080526,-0.19687,-0.26571
9/19/2006,-0.09466,-0.35651,0.53576,-0.29255,0.10061,-0.021699,-0.23151,0.40166,-0.067975,-0.026532
9/20/2006,-0.14182,-0.26395,0.38221,-0.34993,0.013712,-0.54401,-0.11196,0.95745,-0.15141,-0.0663
9/21/2006,-0.22807,-0.4529,-0.6408,-0.40144,0.46055,-0.19657,0.16789,-0.95745,-0.21304,-0.21186
9/22/2006,-0.51712,-0.26585,-0.25926,-0.22116,0.72526,0.065567,-1.3672,-0.2408,-0.53546,0.62363
9/25/2006,0.38367,-0.017176,-0.07164,0.057875,0.29314,0.131,0.2911,0.34764,0.36299,-0.053227
9/26/2006,0.47181,0.62503,-0.035839,0.24766,-0.52375,-0.131,0.41094,0.080053,0.48932,0.053227
9/27/2006,-0.09454,0.31531,-0.080685,0.46536,-0.2856,-0.021851,0.12054,0.10664,-0.13275,0.23987
9/28/2006,0.01575,0.26342,-0.37739,0.6381,0.33539,0.043697,0.18455,-0.053305,0.025542,0.10679
9/29/2006,0.07879,0.12721,0.38636,0.16016,-0.6628,0.37065,0.24021,0.13321,0.069782,0.34787
10/2/2006,-0.44827,-0.28008,0.0269,-0.77175,-0.05923,0.043516,-0.62575,0.07984,-0.44676,-0.3078
10/3/2006,0.13349,0.15287,0.50081,-0.063603,0.65866,-0.63284,0.21705,-0.10647,0.12468,0.56278
10/4/2006,0.31479,0.15263,0.67568,0.18031,0.11312,-0.065696,0.51262,0.079862,0.31187,0.067209
10/5/2006,0,-0.28001,-0.15074,0.35628,-0.357,-0.1754,0.095824,-0.026613,-0.0068065,-0.16123
10/6/2006,0.6881,1.0145,-0.071016,0.32014,0.37147,-0.32971,0.62063,-0.15983,0.68682,0.20157
10/10/2006,0.46935,0.66228,0.5049,0.88031,0.01266,0.54891,0.66409,-0.13339,0.46537,-0.10756
10/11/2006,-0.047832,-0.15888,0.34399,-0.10777,-0.4259,-0.2631,0.086638,-0.10684,-0.050479,-0.026871
10/12/2006,0.079732,0.03347,-0.0088055,0.053871,-0.65598,-0.065883,0.047226,0.16021,0.074027,-0.84276
10/13/2006,0.27956,0.23398,0.096818,0.037727,-0.59592,-0.4624,0.34564,-0.10678,0.29388,0.013322
10/16/2006,-0.1279,-0.4685,0.14944,-0.29604,-0.38695,0.088242,-0.29057,-0.10689,-0.15607,-0.41215
10/17/2006,-0.3668,-0.52127,-0.043931,-0.68559,0.32717,-0.35344,-0.55205,-0.18734,-0.34657,-0.039796
10/18/2006,0.38278,0.38701,-0.035159,0.31543,-0.41213,0.19896,0.59923,0.1071,0.38855,0.026529
10/19/2006,-0.62127,-0.62332,-0.44053,-0.45412,-0.23402,-0.1326,-0.78921,-0.24113,-0.62815,-0.63475
10/20/2006,-0.15075,0.32057,-0.66445,-0.36182,0.20352,-0.088496,-0.26976,0,-0.16908,0.079124
10/23/2006,0.54856,0.4957,0.27518,0.6287,0.26765,0.26525,0.73614,-0.053662,0.54846,0.052784
10/24/2006,-0.16727,-0.058683,-0.088684,-0.18689,-0.29538,-0.26525,-0.17365,-0.16116,-0.14653,-0.10554
10/25/2006,-0.20671,-0.10068,-0.19538,-0.14393,-0.31944,0.39761,-0.079033,-0.35007,-0.2261,-0.25021
10/26/2006,-0.61758,-0.42902,0.044439,-0.55249,-0.46477,-0.37548,-0.64248,-0.24308,-0.64568,-0.23647
10/27/2006,-0.44105,-0.8551,-0.615,-0.48621,-0.24721,-0.2659,-0.56657,-0.76005,-0.41912,-0.83628
